,UID,payment_date,amount,YEAR,MONTH,DAY
0,3753824,2019-11-21 07:54:38,450,2018,9,21
3,3884784,2019-02-12 11:47:55,50,2017,12,13
4,3884784,2019-02-12 11:53:03,50,2017,12,13
9,3911344,2018-07-28 22:52:04,400,2017,5,28
11,3911344,2018-07-30 06:30:56,400,2017,5,30
14,3911344,2019-09-09 08:41:32,50,2018,7,10
17,3911344,2018-12-20 09:25:25,150,2017,10,20
18,3911344,2019-03-22 19:16:03,150,2018,1,20
19,3911344,2019-08-12 04:20:54,300,2018,6,12
20,3911344,2018-07-23 04:14:44,500,2017,5,23
21,3911344,2019-11-29 01:35:29,300,2018,9,29
22,3911344,2019-09-19 02:55:44,300,2018,7,20
26,3911344,2019-06-20 03:16:19,500,2018,4,20
27,3911344,2018-12-16 01:32:50,150,2017,10,16
31,3911344,2019-02-08 07:33:14,500,2017,12,9
32,3911344,2019-02-08 17:59:21,500,2017,12,9
34,3911344,2019-02-19 06:29:52,150,2017,12,20
35,3911344,2018-07-19 19:17:38,500,2017,5,19
37,3911344,2018-07-19 23:43:38,500,2017,5,19
46,3911344,2018-07-15 07:14:50,500,2017,5,15
47,3911344,2018-07-08 01:09:08,500,2017,5,8
48,3911344,2018-07-08 19:16:13,500,2017,5,8
61,3911344,2018-06-26 21:27:32,350,2017,4,26
64,3911344,2018-06-28 00:26:35,150,2017,4,28
66,3911344,2018-04-18 07:27:23,500,2017,2,16
67,3911344,2018-04-24 20:56:14,150,2017,2,22
69,3911344,2018-05-18 20:54:11,150,2017,3,18
74,3911344,2018-12-06 20:04:37,50,2017,10,6
77,3911344,2018-12-02 19:53:50,500,2017,10,2
88,3911344,2018-11-28 19:32:50,50,2017,9,28
91,3911344,2018-11-20 00:46:12,300,2017,9,20
108,3911344,2018-09-01 07:36:42,500,2017,7,2
111,3911344,2018-09-09 19:25:25,500,2017,7,10
112,3911344,2018-09-14 22:04:08,300,2017,7,15
116,3911344,2018-08-18 05:21:57,300,2017,6,18
117,3911344,2018-08-18 05:22:28,500,2017,6,18
120,3911344,2018-08-14 20:36:29,500,2017,6,14
126,3911344,2018-08-09 19:10:31,500,2017,6,9
132,15439792,2018-08-11 22:11:46,500,2017,6,11
133,15439792,2018-08-19 01:35:05,500,2017,6,19
136,15439792,2018-08-26 02:44:40,500,2017,6,26
138,15439792,2019-10-05 21:24:20,500,2018,8,5
139,15439792,2018-12-16 00:42:35,500,2017,10,16
142,15439792,2018-11-10 22:04:38,500,2017,9,10
143,15439792,2018-07-21 20:27:58,500,2017,5,21
148,15439792,2019-01-05 23:24:07,500,2017,11,5
150,15439792,2018-12-16 00:40:20,500,2017,10,16
151,15439792,2018-07-15 01:20:28,500,2017,5,15
152,15439792,2018-03-17 20:36:33,500,2017,1,15
155,15439792,2019-01-12 23:07:21,500,2017,11,12
157,15439792,2018-06-24 02:19:57,500,2017,4,24
158,15439792,2018-07-01 00:56:27,500,2017,5,1
161,15439792,2018-07-08 00:30:34,500,2017,5,8
163,15439792,2018-06-04 00:18:27,500,2017,4,4
164,15439792,2018-06-10 01:38:56,500,2017,4,10
167,15439792,2018-06-17 02:24:01,500,2017,4,17
170,15439792,2018-05-12 23:59:56,500,2017,3,12
171,15439792,2018-05-19 21:22:41,500,2017,3,19
172,15439792,2018-06-03 00:53:16,500,2017,4,3
176,15439792,2018-04-29 00:18:59,500,2017,2,27
177,15439792,2018-04-29 22:57:09,500,2017,2,27
179,15439792,2018-05-06 02:10:28,500,2017,3,6
182,15439792,2018-04-04 00:44:40,500,2017,2,2
183,15439792,2018-04-15 00:39:28,500,2017,2,13
185,15439792,2018-04-22 00:50:05,500,2017,2,20
189,15439792,2018-11-18 00:41:51,500,2017,9,18
191,15439792,2018-03-24 22:16:19,500,2017,1,22
195,15439792,2018-10-13 23:46:32,500,2017,8,13
198,15439792,2018-11-10 22:04:38,500,2017,9,10
199,15439792,2018-09-23 00:30:14,500,2017,7,24
202,15439792,2018-10-07 01:19:49,500,2017,8,7
204,15439792,2018-10-07 02:09:23,500,2017,8,7
206,15439792,2018-09-08 22:47:31,500,2017,7,9
207,15439792,2018-09-16 00:13:04,500,2017,7,17
210,15439792,2018-09-22 07:26:47,500,2017,7,23
215,21044256,2019-10-25 18:58:45,300,2018,8,25
220,26138784,2018-08-05 05:13:05,500,2017,6,5
222,26138784,2019-10-07 05:38:01,350,2018,8,7
230,26138784,2019-11-03 02:06:39,500,2018,9,3
231,26138784,2019-08-07 19:12:57,500,2018,6,7
232,26138784,2019-08-07 19:14:04,500,2018,6,7
234,26138784,2019-06-28 03:27:57,150,2018,4,28
238,26138784,2018-11-03 07:20:25,500,2017,9,3
252,26138784,2018-07-03 05:48:51,500,2017,5,3
258,26138784,2018-06-13 18:57:00,500,2017,4,13
259,26138784,2018-06-19 07:03:05,300,2017,4,19
