,UID,payment_date,amount,YEAR,MONTH,DAY,item,num
0,3753824,2019-11-21 07:54:38,450,2018,9,21,2,18.0
3,3884784,2019-02-12 11:47:55,50,2017,12,13,5,2.0
4,3884784,2019-02-12 11:53:03,50,2017,12,13,5,2.0
9,3911344,2018-07-28 22:52:04,400,2017,5,28,4,16.0
11,3911344,2018-07-30 06:30:56,400,2017,5,30,5,16.0
14,3911344,2019-09-09 08:41:32,50,2018,7,10,6,2.0
17,3911344,2018-12-20 09:25:25,150,2017,10,20,2,6.0
18,3911344,2019-03-22 19:16:03,150,2018,1,20,4,6.0
19,3911344,2019-08-12 04:20:54,300,2018,6,12,4,12.0
20,3911344,2018-07-23 04:14:44,500,2017,5,23,2,20.0
21,3911344,2019-11-29 01:35:29,300,2018,9,29,5,12.0
22,3911344,2019-09-19 02:55:44,300,2018,7,20,2,12.0
26,3911344,2019-06-20 03:16:19,500,2018,4,20,4,20.0
27,3911344,2018-12-16 01:32:50,150,2017,10,16,6,6.0
31,3911344,2019-02-08 07:33:14,500,2017,12,9,2,20.0
32,3911344,2019-02-08 17:59:21,500,2017,12,9,5,20.0
34,3911344,2019-02-19 06:29:52,150,2017,12,20,1,6.0
35,3911344,2018-07-19 19:17:38,500,2017,5,19,3,20.0
37,3911344,2018-07-19 23:43:38,500,2017,5,19,1,20.0
46,3911344,2018-07-15 07:14:50,500,2017,5,15,2,20.0
47,3911344,2018-07-08 01:09:08,500,2017,5,8,5,20.0
48,3911344,2018-07-08 19:16:13,500,2017,5,8,5,20.0
61,3911344,2018-06-26 21:27:32,350,2017,4,26,4,14.0
64,3911344,2018-06-28 00:26:35,150,2017,4,28,6,6.0
66,3911344,2018-04-18 07:27:23,500,2017,2,16,5,20.0
67,3911344,2018-04-24 20:56:14,150,2017,2,22,3,6.0
69,3911344,2018-05-18 20:54:11,150,2017,3,18,4,6.0
74,3911344,2018-12-06 20:04:37,50,2017,10,6,1,2.0
77,3911344,2018-12-02 19:53:50,500,2017,10,2,4,20.0
88,3911344,2018-11-28 19:32:50,50,2017,9,28,5,2.0
91,3911344,2018-11-20 00:46:12,300,2017,9,20,2,12.0
108,3911344,2018-09-01 07:36:42,500,2017,7,2,2,20.0
111,3911344,2018-09-09 19:25:25,500,2017,7,10,6,20.0
112,3911344,2018-09-14 22:04:08,300,2017,7,15,5,12.0
116,3911344,2018-08-18 05:21:57,300,2017,6,18,4,12.0
117,3911344,2018-08-18 05:22:28,500,2017,6,18,3,20.0
120,3911344,2018-08-14 20:36:29,500,2017,6,14,3,20.0
126,3911344,2018-08-09 19:10:31,500,2017,6,9,1,20.0
132,15439792,2018-08-11 22:11:46,500,2017,6,11,2,20.0
133,15439792,2018-08-19 01:35:05,500,2017,6,19,4,20.0
136,15439792,2018-08-26 02:44:40,500,2017,6,26,1,20.0
138,15439792,2019-10-05 21:24:20,500,2018,8,5,3,20.0
139,15439792,2018-12-16 00:42:35,500,2017,10,16,4,20.0
142,15439792,2018-11-10 22:04:38,500,2017,9,10,1,20.0
143,15439792,2018-07-21 20:27:58,500,2017,5,21,4,20.0
148,15439792,2019-01-05 23:24:07,500,2017,11,5,3,20.0
150,15439792,2018-12-16 00:40:20,500,2017,10,16,3,20.0
151,15439792,2018-07-15 01:20:28,500,2017,5,15,4,20.0
152,15439792,2018-03-17 20:36:33,500,2017,1,15,5,20.0
155,15439792,2019-01-12 23:07:21,500,2017,11,12,5,20.0
157,15439792,2018-06-24 02:19:57,500,2017,4,24,5,20.0
158,15439792,2018-07-01 00:56:27,500,2017,5,1,6,20.0
161,15439792,2018-07-08 00:30:34,500,2017,5,8,3,20.0
163,15439792,2018-06-04 00:18:27,500,2017,4,4,4,20.0
164,15439792,2018-06-10 01:38:56,500,2017,4,10,4,20.0
167,15439792,2018-06-17 02:24:01,500,2017,4,17,3,20.0
170,15439792,2018-05-12 23:59:56,500,2017,3,12,5,20.0
171,15439792,2018-05-19 21:22:41,500,2017,3,19,3,20.0
172,15439792,2018-06-03 00:53:16,500,2017,4,3,5,20.0
176,15439792,2018-04-29 00:18:59,500,2017,2,27,1,20.0
177,15439792,2018-04-29 22:57:09,500,2017,2,27,1,20.0
179,15439792,2018-05-06 02:10:28,500,2017,3,6,3,20.0
182,15439792,2018-04-04 00:44:40,500,2017,2,2,4,20.0
183,15439792,2018-04-15 00:39:28,500,2017,2,13,2,20.0
185,15439792,2018-04-22 00:50:05,500,2017,2,20,6,20.0
189,15439792,2018-11-18 00:41:51,500,2017,9,18,6,20.0
191,15439792,2018-03-24 22:16:19,500,2017,1,22,2,20.0
195,15439792,2018-10-13 23:46:32,500,2017,8,13,6,20.0
198,15439792,2018-11-10 22:04:38,500,2017,9,10,3,20.0
199,15439792,2018-09-23 00:30:14,500,2017,7,24,1,20.0
202,15439792,2018-10-07 01:19:49,500,2017,8,7,2,20.0
204,15439792,2018-10-07 02:09:23,500,2017,8,7,3,20.0
206,15439792,2018-09-08 22:47:31,500,2017,7,9,4,20.0
207,15439792,2018-09-16 00:13:04,500,2017,7,17,1,20.0
210,15439792,2018-09-22 07:26:47,500,2017,7,23,1,20.0
215,21044256,2019-10-25 18:58:45,300,2018,8,25,1,12.0
220,26138784,2018-08-05 05:13:05,500,2017,6,5,3,20.0
222,26138784,2019-10-07 05:38:01,350,2018,8,7,2,14.0
230,26138784,2019-11-03 02:06:39,500,2018,9,3,6,20.0
231,26138784,2019-08-07 19:12:57,500,2018,6,7,2,20.0
232,26138784,2019-08-07 19:14:04,500,2018,6,7,3,20.0
234,26138784,2019-06-28 03:27:57,150,2018,4,28,6,6.0
238,26138784,2018-11-03 07:20:25,500,2017,9,3,3,20.0
252,26138784,2018-07-03 05:48:51,500,2017,5,3,4,20.0
258,26138784,2018-06-13 18:57:00,500,2017,4,13,2,20.0
259,26138784,2018-06-19 07:03:05,300,2017,4,19,3,12.0
260,26138784,2018-06-19 07:20:28,300,2017,4,19,2,12.0
261,26138784,2018-06-22 20:12:21,300,2017,4,22,1,12.0
269,26138784,2018-06-05 05:09:12,400,2017,4,5,6,16.0
271,26138784,2018-05-18 19:53:18,500,2017,3,18,4,20.0
277,26138784,2018-04-07 03:42:28,450,2017,2,5,1,18.0
280,26138784,2018-05-05 02:44:17,300,2017,3,5,5,12.0
283,26138784,2018-11-24 07:04:59,500,2017,9,24,2,20.0
284,26138784,2018-11-21 20:46:42,450,2017,9,21,3,18.0
289,26138784,2018-11-15 17:29:18,500,2017,9,15,4,20.0
290,26138784,2018-11-15 17:30:07,500,2017,9,15,3,20.0
291,26138784,2018-11-20 20:45:31,500,2017,9,20,3,20.0
292,26138784,2018-11-21 06:30:17,500,2017,9,21,4,20.0
295,26138784,2018-10-14 06:47:16,300,2017,8,14,1,12.0
297,26138784,2018-03-10 02:18:26,350,2017,1,8,5,14.0
298,26138784,2018-03-15 05:47:41,300,2017,1,13,2,12.0
300,26138784,2018-09-03 05:24:33,150,2017,7,4,2,6.0
303,26138784,2018-09-17 18:52:49,350,2017,7,18,4,14.0
305,26138784,2018-10-04 06:45:24,500,2017,8,4,4,20.0
306,37535552,2018-08-05 07:10:30,500,2017,6,5,3,20.0
307,37535552,2018-08-16 02:35:36,500,2017,6,16,2,20.0
308,37535552,2018-08-23 07:40:50,500,2017,6,23,4,20.0
309,37535552,2018-09-11 07:53:16,500,2017,7,12,6,20.0
310,37535552,2018-10-21 06:52:49,400,2017,8,21,5,16.0
311,37535552,2018-03-07 07:59:22,500,2017,1,5,6,20.0
315,37535552,2019-07-20 07:00:50,500,2018,5,20,6,20.0
317,20631168,2019-06-21 06:50:57,50,2018,4,21,3,2.0
318,20631168,2019-06-22 13:24:26,50,2018,4,22,6,2.0
319,20631168,2019-06-22 13:26:42,50,2018,4,22,2,2.0
320,20631168,2019-05-16 17:36:37,50,2018,3,16,3,2.0
321,20631168,2019-05-16 17:38:20,50,2018,3,16,5,2.0
322,20631168,2019-05-24 06:33:12,50,2018,3,24,3,2.0
323,20631168,2019-10-09 08:51:01,50,2018,8,9,1,2.0
324,20631168,2019-10-09 08:57:36,50,2018,8,9,4,2.0
325,20631168,2019-05-24 06:35:05,50,2018,3,24,3,2.0
326,20631168,2019-04-24 23:45:33,50,2018,2,22,2,2.0
327,20631168,2019-04-24 23:47:58,50,2018,2,22,1,2.0
328,20631168,2019-04-24 23:49:19,50,2018,2,22,6,2.0
329,20631168,2019-10-09 06:18:05,50,2018,8,9,5,2.0
330,20631168,2019-10-09 08:49:18,50,2018,8,9,2,2.0
331,26027968,2019-05-14 07:25:35,450,2018,3,14,6,18.0
333,26027968,2019-07-05 20:21:25,500,2018,5,5,2,20.0
334,26027968,2019-03-30 20:56:44,500,2018,1,28,4,20.0
336,26027968,2019-09-12 03:29:55,500,2018,7,13,3,20.0
337,26027968,2019-10-06 21:00:57,500,2018,8,6,2,20.0
338,26303968,2018-12-15 06:36:36,500,2017,10,15,6,20.0
340,26303968,2018-12-03 11:43:50,500,2017,10,3,5,20.0
341,26303968,2018-12-03 12:42:57,500,2017,10,3,4,20.0
345,26303968,2019-03-14 08:31:55,500,2018,1,12,5,20.0
346,26303968,2018-12-17 06:19:40,500,2017,10,17,5,20.0
348,26303968,2019-04-22 04:54:21,400,2018,2,20,1,16.0
349,37408832,2018-11-18 21:36:23,150,2017,9,18,5,6.0
350,37408832,2018-12-08 06:43:16,150,2017,10,8,6,6.0
351,37408832,2018-12-11 01:53:47,50,2017,10,11,2,2.0
352,37408832,2018-12-02 12:29:04,50,2017,10,2,1,2.0
353,37408832,2018-12-04 01:57:21,50,2017,10,4,6,2.0
354,37408832,2018-12-20 13:44:06,50,2017,10,20,3,2.0
355,37408832,2019-03-30 03:55:36,350,2018,1,28,5,14.0
356,37408832,2019-10-17 06:11:00,450,2018,8,17,2,18.0
357,37408832,2019-10-17 06:12:05,450,2018,8,17,2,18.0
359,37535552,2019-11-13 07:47:41,500,2018,9,13,6,20.0
361,37535552,2019-04-20 02:29:56,500,2018,2,18,6,20.0
364,37535552,2018-11-09 21:26:13,500,2017,9,9,3,20.0
365,37535552,2018-11-09 21:26:16,500,2017,9,9,5,20.0
366,37535552,2018-07-21 06:46:48,450,2017,5,21,3,18.0
367,37535552,2019-08-04 06:51:07,500,2018,6,4,2,20.0
368,37535552,2019-08-07 02:09:41,750,2018,6,7,2,30.0
370,37535552,2018-12-15 07:22:50,500,2017,10,15,2,20.0
371,37535552,2019-03-25 02:41:36,500,2018,1,23,2,20.0
374,37535552,2019-07-06 07:11:26,500,2018,5,6,3,20.0
375,37535552,2019-05-01 02:24:07,500,2018,3,1,2,20.0
376,37535552,2019-01-23 03:32:17,300,2017,11,23,3,12.0
377,37535552,2019-04-03 03:29:57,300,2018,2,1,3,12.0
378,37535552,2019-05-31 05:20:43,300,2018,3,31,4,12.0
381,37535552,2019-01-04 05:42:38,500,2017,11,4,5,20.0
382,37535552,2019-03-04 02:57:05,500,2018,1,2,6,20.0
383,37535552,2018-03-17 01:57:09,500,2017,1,15,5,20.0
384,37535552,2018-03-17 01:57:59,500,2017,1,15,5,20.0
387,37535552,2018-05-13 04:14:14,500,2017,3,13,4,20.0
388,37535552,2018-05-30 03:01:38,500,2017,3,30,1,20.0
389,37535552,2018-06-09 02:46:56,500,2017,4,9,3,20.0
390,37535552,2018-06-22 04:50:04,500,2017,4,22,4,20.0
392,37535552,2018-12-27 03:34:31,500,2017,10,27,1,20.0
393,37535552,2018-04-21 19:33:00,500,2017,2,19,2,20.0
394,37535552,2018-04-23 07:49:27,500,2017,2,21,6,20.0
395,37535552,2018-04-24 06:16:00,500,2017,2,22,1,20.0
396,37535552,2018-04-28 03:14:40,500,2017,2,26,2,20.0
398,37535552,2018-05-04 04:22:42,500,2017,3,4,3,20.0
399,37535552,2018-03-13 08:04:52,500,2017,1,11,5,20.0
401,37535552,2018-11-20 04:38:34,450,2017,9,20,5,18.0
403,37535552,2018-03-31 03:13:12,500,2017,1,29,6,20.0
406,37585360,2019-05-08 12:52:31,50,2018,3,8,6,2.0
407,37585360,2019-05-08 12:52:57,50,2018,3,8,4,2.0
408,37585360,2019-03-19 10:33:35,50,2018,1,17,6,2.0
409,37585360,2019-03-19 10:33:58,50,2018,1,17,3,2.0
410,37585360,2019-03-19 10:34:21,50,2018,1,17,4,2.0
411,37585360,2019-10-21 06:57:46,50,2018,8,21,1,2.0
413,37585360,2019-09-04 15:29:54,50,2018,7,5,1,2.0
414,37585360,2019-09-04 15:30:16,50,2018,7,5,2,2.0
415,37585360,2019-10-21 06:56:29,50,2018,8,21,6,2.0
416,37585360,2019-10-21 06:56:56,50,2018,8,21,2,2.0
417,37585360,2019-10-21 06:57:22,50,2018,8,21,3,2.0
418,37585360,2019-03-19 10:34:42,50,2018,1,17,2,2.0
419,37585360,2019-07-07 15:10:18,50,2018,5,7,3,2.0
420,37585360,2019-07-07 15:10:44,50,2018,5,7,2,2.0
